years,nonch4_forcing
2119,0.164942431
2120,0.164782933
2121,0.164607668
2122,0.164422204
2123,0.164231979
2124,0.164041561
2125,0.16385567
2126,0.163675084
2127,0.163497183
2128,0.163319968
2129,0.163142581
2130,0.162964495
2131,0.162778075
2132,0.162578091
2133,0.162370111
2134,0.16215966
2135,0.161951337
2136,0.161749926
2137,0.161556129
2138,0.161367179
2139,0.161180849
2140,0.160996158
2141,0.160812431
2142,0.16062183
2143,0.16041892
2144,0.160209162
2145,0.159998142
2146,0.159790525
2147,0.159591103
2148,0.159400538
2149,0.159215925
2150,0.159034882
2151,0.158851427
2152,0.158666728
2153,0.158474645
2154,0.15826989
2155,0.158058178
2156,0.15784546
2157,0.157636715
2158,0.157436952
2159,0.157247024
2160,0.157064095
2161,0.156885776
2162,0.156710921
2163,0.156538756
2164,0.1563613
2165,0.156172867
2166,0.155978897
2167,0.155785229
2168,0.155596732
2169,0.155418335
2170,0.155250742
2171,0.155090929
2172,0.154936314
2173,0.154785573
2174,0.154637796
2175,0.15448488
2176,0.154321018
2177,0.154151621
2178,0.153982555
2179,0.153818736
2180,0.153665118
2181,0.153522383
2182,0.15338742
2183,0.153257549
2184,0.153131388
2185,0.153007982
2186,0.152879209
2187,0.152739223
2188,0.152593438
2189,0.15244779
2190,0.152307251
2191,0.152176804
2192,0.152057091
2193,0.151944976
2194,0.151837721
2195,0.151733905
2196,0.151632593
2197,0.151525604
2198,0.15140713
2199,0.151282611
2200,0.151158
2201,0.151038276
2202,0.1509284
2203,0.150829003
2204,0.150736886
2205,0.150649318
2206,0.15056487
2207,0.150482593
2208,0.150394317
2209,0.150294241
2210,0.150187857
2211,0.150081194
2212,0.149979263
2213,0.149887024
2214,0.149805106
2215,0.149730271
2216,0.149659778
2217,0.149592206
2218,0.149526598
2219,0.149454821
2220,0.149371087
2221,0.149280956
2222,0.149190476
2223,0.14910465
2224,0.149028386
2225,0.148962284
2226,0.148903116
2227,0.148848109
2228,0.148795866
2229,0.148745415
2230,0.148688647
2231,0.148619802
2232,0.148544449
2233,0.148468649
2234,0.148397412
2235,0.148335637
2236,0.148283906
2237,0.148238977
2238,0.14819806
2239,0.148159757
2240,0.148123116
2241,0.148080058
2242,0.148024843
2243,0.147963061
2244,0.147900821
2245,0.147843084
2246,0.14779473
2247,0.147756309
2248,0.14772457
2249,0.147687178
2250,0.147649513
2251,0.147608958
2252,0.147570883
2253,0.147534972
2254,0.147500949
2255,0.147468575
2256,0.147437303
2257,0.147406995
2258,0.147377526
2259,0.147348792
2260,0.147320697
2261,0.147293011
2262,0.147265681
2263,0.147238662
2264,0.147211914
2265,0.147185404
2266,0.147159101
2267,0.147132978
2268,0.147107014
2269,0.147081188
2270,0.147055483
2271,0.147029883
2272,0.147004375
2273,0.146978948
2274,0.146953591
2275,0.146928296
2276,0.146903384
2277,0.146878807
2278,0.146854522
2279,0.146830492
2280,0.146806685
2281,0.146783072
2282,0.146759629
2283,0.146736335
2284,0.14671317
2285,0.146690118
2286,0.146667165
2287,0.146644299
2288,0.146621508
2289,0.146598784
2290,0.146576117
2291,0.146553501
2292,0.146530929
2293,0.146508395
2294,0.146485896
2295,0.146463426
2296,0.146440983
2297,0.146418562
2298,0.146396161
2299,0.146373778
2300,0.146351411
2301,0.146329536
2302,0.14630809
2303,0.146287018
2304,0.146266274
2305,0.146245816
2306,0.146225607
2307,0.146205616
2308,0.146185815
2309,0.14616618
2310,0.14614669
2311,0.146127326
2312,0.146108073
2313,0.146088917
2314,0.146069844
2315,0.146050846
2316,0.146031912
2317,0.146013035
2318,0.145994206
2319,0.145975421
2320,0.145956673
2321,0.145937958
2322,0.145919272
2323,0.145900612
2324,0.145881973
2325,0.145863354
2326,0.145844751
2327,0.145826164
2328,0.14580759
2329,0.145789027
2330,0.145770475
2331,0.145751931
2332,0.145733395
2333,0.145714867
2334,0.145696344
2335,0.145677827
2336,0.145659315
2337,0.145640807
2338,0.145622302
2339,0.145603802
2340,0.145585304
2341,0.145566809
2342,0.145548317
2343,0.145529827
2344,0.145511339
2345,0.145492853
2346,0.145474369
2347,0.145455886
2348,0.145437405
2349,0.145418925
2350,0.145400446
2351,0.145382379
2352,0.145364672
2353,0.145347279
2354,0.14533016
2355,0.14531328
2356,0.145296608
2357,0.145280119
2358,0.145263789
2359,0.145247598
2360,0.145231529
2361,0.145215565
2362,0.145199694
2363,0.145183903
2364,0.145168183
2365,0.145152525
2366,0.14513692
2367,0.145121363
2368,0.145105847
2369,0.145090367
2370,0.145074918
2371,0.145059496
2372,0.145044099
2373,0.145028723
2374,0.145013365
2375,0.144998023
2376,0.144982695
2377,0.14496738
2378,0.144952076
2379,0.144936781
2380,0.144921495
2381,0.144906215
2382,0.144890943
2383,0.144875676
2384,0.144860414
2385,0.144845157
2386,0.144829904
2387,0.144814654
2388,0.144799407
2389,0.144784163
2390,0.144768922
2391,0.144753682
2392,0.144738445
2393,0.14472321
2394,0.144707976
2395,0.144692744
2396,0.144677513
2397,0.144662283
2398,0.144647054
2399,0.144631827
2400,0.1446166
2401,0.144601647
2402,0.144586933
2403,0.144572427
2404,0.144558104
2405,0.144543939
2406,0.144529913
2407,0.144516008
2408,0.144502208
2409,0.144488501
2410,0.144474875
2411,0.144461319
2412,0.144447824
2413,0.144434383
2414,0.144420989
2415,0.144407636
2416,0.144394319
2417,0.144381033
2418,0.144367774
2419,0.144354539
2420,0.144341325
2421,0.14432813
2422,0.14431495
2423,0.144301785
2424,0.144288631
2425,0.144275489
2426,0.144262356
2427,0.144249231
2428,0.144236113
2429,0.144223002
2430,0.144209897
2431,0.144196796
2432,0.144183699
2433,0.144170607
2434,0.144157518
2435,0.144144432
2436,0.144131348
2437,0.144118267
2438,0.144105188
2439,0.144092111
2440,0.144079036
2441,0.144065962
2442,0.144052889
2443,0.144039818
2444,0.144026748
2445,0.144013678
2446,0.14400061
2447,0.143987543
2448,0.143974476
2449,0.14396141
2450,0.143948345
2451,0.143935508
2452,0.14392287
2453,0.143910405
2454,0.143898093
2455,0.143885912
2456,0.143873848
2457,0.143861884
2458,0.143850008
2459,0.14383821
2460,0.143826478
2461,0.143814805
2462,0.143803183
2463,0.143791606
2464,0.143780068
2465,0.143768565
2466,0.14375709
2467,0.143745642
2468,0.143734217
2469,0.143722812
2470,0.143711424
2471,0.143700051
2472,0.143688692
2473,0.143677344
2474,0.143666007
2475,0.143654678
2476,0.143643357
2477,0.143632044
2478,0.143620736
2479,0.143609433
2480,0.143598135
2481,0.143586841
2482,0.143575551
2483,0.143564264
2484,0.14355298
2485,0.143541698
2486,0.143530418
2487,0.14351914
2488,0.143507864
2489,0.14349659
2490,0.143485317
2491,0.143474045
2492,0.143462774
2493,0.143451505
2494,0.143440236
2495,0.143428968
2496,0.1434177
2497,0.143406434
2498,0.143395168
2499,0.143383902
2500,0.143372637
