years,nonch4_forcing
1765,0
1766,0.001287792
1767,0.00312834
1768,0.003863628
1769,0.004332355
1770,0.004786994
1771,0.005229713
1772,0.005662794
1773,0.006087368
1774,0.006503899
1775,0.006912757
1776,0.007314233
1777,0.007708545
1778,0.008095849
1779,0.00847625
1780,0.008849236
1781,0.009213531
1782,0.009568856
1783,0.009916862
1784,0.010259939
1785,0.01060045
1786,0.010940729
1787,0.011283091
1788,0.011629827
1789,0.011983209
1790,0.012345065
1791,0.012715874
1792,0.013094919
1793,0.013481382
1794,0.013874629
1795,0.014274024
1796,0.014678924
1797,0.015088687
1798,0.015502663
1799,0.015920206
1800,0.01634185
1801,0.016770299
1802,0.017207785
1803,0.017653806
1804,0.018106585
1805,0.018564356
1806,0.019025357
1807,0.019487833
1808,0.019950038
1809,0.020410234
1810,0.020867568
1811,0.021323193
1812,0.021778897
1813,0.022235222
1814,0.022691959
1815,0.023148904
1816,0.023605852
1817,0.024062598
1818,0.024518939
1819,0.02497467
1820,0.02542966
1821,0.025883953
1822,0.026337704
1823,0.026791025
1824,0.027243979
1825,0.02769663
1826,0.028149039
1827,0.028601272
1828,0.029053388
1829,0.029505452
1830,0.029957077
1831,0.030407159
1832,0.030855036
1833,0.031301291
1834,0.03174704
1835,0.03219339
1836,0.032641448
1837,0.033092312
1838,0.033547075
1839,0.034006828
1840,0.034473294
1841,0.034948828
1842,0.035434148
1843,0.035927397
1844,0.036425763
1845,0.03692645
1846,0.037426681
1847,0.037923696
1848,0.038414751
1849,0.03889712
1850,0.039367127
1851,0.03991212
1852,0.040272253
1853,0.040392795
1854,0.04053135
1855,0.040633124
1856,0.04074858
1857,0.040928345
1858,0.041118328
1859,0.041317166
1860,0.04152367
1861,0.041794119
1862,0.042164936
1863,0.042628932
1864,0.043135163
1865,0.043729653
1866,0.044356115
1867,0.044958972
1868,0.045586186
1869,0.046234629
1870,0.046952531
1871,0.047501667
1872,0.047863559
1873,0.048108129
1874,0.048240885
1875,0.048326932
1876,0.048328565
1877,0.048206587
1878,0.048021425
1879,0.047781713
1880,0.047544978
1881,0.04731167
1882,0.047057089
1883,0.046786944
1884,0.046437755
1885,0.046014056
1886,0.045618668
1887,0.045254657
1888,0.044875327
1889,0.04448315
1890,0.044080269
1891,0.043794954
1892,0.043682708
1893,0.043638266
1894,0.043590313
1895,0.043629904
1896,0.043751686
1897,0.043854797
1898,0.043983481
1899,0.04418235
1900,0.044447949
1901,0.044884905
1902,0.045495919
1903,0.046229068
1904,0.047025806
1905,0.047836279
1906,0.048658296
1907,0.049489938
1908,0.050375276
1909,0.051312394
1910,0.052208653
1911,0.053058392
1912,0.053766711
1913,0.054377451
1914,0.055029745
1915,0.05567846
1916,0.056323466
1917,0.056964685
1918,0.057645251
1919,0.058364613
1920,0.059036297
1921,0.059668822
1922,0.060489142
1923,0.061495838
1924,0.062502809
1925,0.063509372
1926,0.064514943
1927,0.065519019
1928,0.066521183
1929,0.067480549
1930,0.068397259
1931,0.069307854
1932,0.070145228
1933,0.070909648
1934,0.071629296
1935,0.072304758
1936,0.072976089
1937,0.073643464
1938,0.074307013
1939,0.074966861
1940,0.07566152
1941,0.076370898
1942,0.07774667
1943,0.079791547
1944,0.081857891
1945,0.083947126
1946,0.086060103
1947,0.088234874
1948,0.090434596
1949,0.092659502
1950,0.094946488
1951,0.097128059
1952,0.099672871
1953,0.102599056
1954,0.105439821
1955,0.108209675
1956,0.110956434
1957,0.113690316
1958,0.116385945
1959,0.119051305
1960,0.121727233
1961,0.124512576
1962,0.127994686
1963,0.132133247
1964,0.136325669
1965,0.140598729
1966,0.14491529
1967,0.14927086
1968,0.153692861
1969,0.158176985
1970,0.162689285
1971,0.167153485
1972,0.171836227
1973,0.176740985
1974,0.181608717
1975,0.186442621
1976,0.191245523
1977,0.196047765
1978,0.200850939
1979,0.205628621
1980,0.210490217
1981,0.215515513
1982,0.219899737
1983,0.223596521
1984,0.227107692
1985,0.230248692
1986,0.233202769
1987,0.236091585
1988,0.238893476
1989,0.241651563
1990,0.24438869
1991,0.247429498
1992,0.249036112
1993,0.24905031
1994,0.249287556
1995,0.249759673
1996,0.250221715
1997,0.250928094
1998,0.252047955
1999,0.253138319
2000,0.253862921
2001,0.254174518
2002,0.254823338
2003,0.255765984
2004,0.256352147
2005,0.256661386
2006,0.257022583
2007,0.257278363
2008,0.257323217
2009,0.257355754
2010,0.257353327
2011,0.257812476
2012,0.257757911
2013,0.256976816
2014,0.256198328
2015,0.255414723
2016,0.254616547
2017,0.253793463
2018,0.252937383
2019,0.252042201
2020,0.251102788
2021,0.249866342
2022,0.247884208
2023,0.245290118
2024,0.242692106
2025,0.240111345
2026,0.237551498
2027,0.235012362
2028,0.232491088
2029,0.229985591
2030,0.227494637
2031,0.224972316
2032,0.223195243
2033,0.222171697
2034,0.221139229
2035,0.22010349
2036,0.219069152
2037,0.218040877
2038,0.217019467
2039,0.216003076
2040,0.214990616
2041,0.214091288
2042,0.213289494
2043,0.212522053
2044,0.211737159
2045,0.210940084
2046,0.21013472
2047,0.209324347
2048,0.208512553
2049,0.207699373
2050,0.206882327
2051,0.206002392
2052,0.20500869
2053,0.203933201
2054,0.202855524
2055,0.201771738
2056,0.200687171
2057,0.199605619
2058,0.198530163
2059,0.197464083
2060,0.196407081
2061,0.195274816
2062,0.193733007
2063,0.191823906
2064,0.189927294
2065,0.188035996
2066,0.186145912
2067,0.184262058
2068,0.182387945
2069,0.180526278
2070,0.178680036
2071,0.176853473
2072,0.175062136
2073,0.173304085
2074,0.171558947
2075,0.169824958
2076,0.16809412
2077,0.166361747
2078,0.164632483
2079,0.162909492
2080,0.161195347
2081,0.159494861
2082,0.158144301
2083,0.157138238
2084,0.156135363
2085,0.155134881
2086,0.154136086
2087,0.153131936
2088,0.152118634
2089,0.151101555
2090,0.150084602
2091,0.149069739
2092,0.1479616
2093,0.14676236
2094,0.145570405
2095,0.144383679
2096,0.143201135
2097,0.142021838
2098,0.140838528
2099,0.139647229
2100,0.138453186
2101,0.137229661
2102,0.136617225
2103,0.136631102
2104,0.136648054
2105,0.136666118
2106,0.136684247
2107,0.136702214
2108,0.136719806
2109,0.136730367
2110,0.136730481
2111,0.136725803
2112,0.13672043
2113,0.136717744
2114,0.136721282
2115,0.136731002
2116,0.136744358
2117,0.136759789
2118,0.136776648
2119,0.136794379
2120,0.136806059
2121,0.136808039
2122,0.136805792
2123,0.13680326
2124,0.136803662
2125,0.136810455
2126,0.136823511
2127,0.136840215
2128,0.136858973
