years,nonch4_forcing
2129,0.136879068
2130,0.136899939
2131,0.136914623
2132,0.136919439
2133,0.136919876
2134,0.136919826
2135,0.136922504
2136,0.13693136
2137,0.136946248
2138,0.136964568
2139,0.136984707
2140,0.137005997
2141,0.137027869
2142,0.137043401
2143,0.137048927
2144,0.137049931
2145,0.137050325
2146,0.137053338
2147,0.1370624
2148,0.137077399
2149,0.137095731
2150,0.137115802
2151,0.137136967
2152,0.137158652
2153,0.137173939
2154,0.137179192
2155,0.137179895
2156,0.13717996
2157,0.137182588
2158,0.137191253
2159,0.137205816
2160,0.137223679
2161,0.137243282
2162,0.137263957
2163,0.137285136
2164,0.137299918
2165,0.137304675
2166,0.137304887
2167,0.137304455
2168,0.137306589
2169,0.137314741
2170,0.137328779
2171,0.137346136
2172,0.13736522
2173,0.137385382
2174,0.137406063
2175,0.137420343
2176,0.137424621
2177,0.137424358
2178,0.137423464
2179,0.13742514
2180,0.137432835
2181,0.137446419
2182,0.137463313
2183,0.137481946
2184,0.137501669
2185,0.137521901
2186,0.137535763
2187,0.137539625
2188,0.137538967
2189,0.137537688
2190,0.137538969
2191,0.13754628
2192,0.137559481
2193,0.137576002
2194,0.137594263
2195,0.137613603
2196,0.137633484
2197,0.137646985
2198,0.137650515
2199,0.137649535
2200,0.137647926
2201,0.137648896
2202,0.137655896
2203,0.137668776
2204,0.137684977
2205,0.137702917
2206,0.137721957
2207,0.137741537
2208,0.137754747
2209,0.137757997
2210,0.137756747
2211,0.137754867
2212,0.137755577
2213,0.137762307
2214,0.137774928
2215,0.137790858
2216,0.137808548
2217,0.137827328
2218,0.137846648
2219,0.137859618
2220,0.137862628
2221,0.137861148
2222,0.137859058
2223,0.137859538
2224,0.137866048
2225,0.137878438
2226,0.137894138
2227,0.137911598
2228,0.137930168
2229,0.137949268
2230,0.137962018
2231,0.137964838
2232,0.137963168
2233,0.137960878
2234,0.137961178
2235,0.137967488
2236,0.137979678
2237,0.137995188
2238,0.138012458
2239,0.138030828
2240,0.138049738
2241,0.138062308
2242,0.138064948
2243,0.138063108
2244,0.138060658
2245,0.138060788
2246,0.138066938
2247,0.138078958
2248,0.138094288
2249,0.138111378
2250,0.138129578
2251,0.138148328
2252,0.138160738
2253,0.138163218
2254,0.138161238
2255,0.138158638
2256,0.138158618
2257,0.138164618
2258,0.138176478
2259,0.138191658
2260,0.138208598
2261,0.138226648
2262,0.138245238
2263,0.138257508
2264,0.138259848
2265,0.138257728
2266,0.138255008
2267,0.138254858
2268,0.138260708
2269,0.138272438
2270,0.138287478
2271,0.138304278
2272,0.138322188
2273,0.138340648
2274,0.138352778
2275,0.138354998
2276,0.138352758
2277,0.138349918
2278,0.138349648
2279,0.138355378
2280,0.138366978
2281,0.138381888
2282,0.138398558
2283,0.138416338
2284,0.138434678
2285,0.138446688
2286,0.138448798
2287,0.138446448
2288,0.138443498
2289,0.138443118
2290,0.138448738
2291,0.138460218
2292,0.138475008
2293,0.138491568
2294,0.138509228
2295,0.138527448
2296,0.138539348
2297,0.138541358
2298,0.138538908
2299,0.138535858
2300,0.138535378
2301,0.138540888
2302,0.138552258
2303,0.138566948
2304,0.138583388
2305,0.138600948
2306,0.138619058
2307,0.138630858
2308,0.138632768
2309,0.138630228
2310,0.138627078
2311,0.138626508
2312,0.138631928
2313,0.138643198
2314,0.138657778
2315,0.138674118
2316,0.138691578
2317,0.138709588
2318,0.138721288
2319,0.138723108
2320,0.138720488
2321,0.138717258
2322,0.138716588
2323,0.138721918
2324,0.138733098
2325,0.138747588
2326,0.138763828
2327,0.138781188
2328,0.138799108
2329,0.138810728
2330,0.138812458
2331,0.138809758
2332,0.138806448
2333,0.138805698
2334,0.138810938
2335,0.138822028
2336,0.138836428
2337,0.138852588
2338,0.138869858
2339,0.138887688
2340,0.138899218
2341,0.138900868
2342,0.138898098
2343,0.138894708
2344,0.138893888
2345,0.138899048
2346,0.138910058
2347,0.138924368
2348,0.138940438
2349,0.138957628
2350,0.138975378
2351,0.138986828
2352,0.138988408
2353,0.138985568
2354,0.138982108
2355,0.138981218
2356,0.138986298
2357,0.138997228
2358,0.139011458
2359,0.139027448
2360,0.139044558
2361,0.139062228
2362,0.139073608
2363,0.139075118
2364,0.139072208
2365,0.139068688
2366,0.139067728
2367,0.139072738
2368,0.139083588
2369,0.139097748
2370,0.139113658
2371,0.139130698
2372,0.139148298
2373,0.139159598
2374,0.139161048
2375,0.139158078
2376,0.139154488
2377,0.139153458
2378,0.139158408
2379,0.139169188
2380,0.139183268
2381,0.139199118
2382,0.139216078
2383,0.139233608
2384,0.139244848
2385,0.139246228
2386,0.139243198
2387,0.139239558
2388,0.139238468
2389,0.139243348
2390,0.139254058
2391,0.139268078
2392,0.139283848
2393,0.139300748
2394,0.139318208
2395,0.139329388
2396,0.139330708
2397,0.139327628
2398,0.139323928
2399,0.139322778
2400,0.139327598
2401,0.139338248
2402,0.139352198
2403,0.139367908
2404,0.139384738
2405,0.139402138
2406,0.139413248
2407,0.139414518
2408,0.139411378
2409,0.139407628
2410,0.139406428
2411,0.139411188
2412,0.139421778
2413,0.139435658
2414,0.139451308
2415,0.139468078
2416,0.139485418
2417,0.139496468
2418,0.139497688
2419,0.139494498
2420,0.139490698
2421,0.139489438
2422,0.139494148
2423,0.139504678
2424,0.139518498
2425,0.139534088
2426,0.139550798
2427,0.139568078
2428,0.139579078
2429,0.139580248
2430,0.139577008
2431,0.139573158
2432,0.139571858
2433,0.139576508
2434,0.139586978
2435,0.139600748
2436,0.139616278
2437,0.139632928
2438,0.139650158
2439,0.139661098
2440,0.139662228
2441,0.139658938
2442,0.139655038
2443,0.139653688
2444,0.139658288
2445,0.139668708
2446,0.139682418
2447,0.139697888
2448,0.139714498
2449,0.139731668
2450,0.139742558
2451,0.139743638
2452,0.139740308
2453,0.139736368
2454,0.139734968
2455,0.139739518
2456,0.139749888
2457,0.139763538
2458,0.139778968
2459,0.139795518
2460,0.139812638
2461,0.139823488
2462,0.139824518
2463,0.139821148
2464,0.139817158
2465,0.139815718
2466,0.139820218
2467,0.139830538
2468,0.139844138
2469,0.139859508
2470,0.139876008
2471,0.139893088
2472,0.139903888
2473,0.139904878
2474,0.139901468
2475,0.139897438
2476,0.139895948
2477,0.139900408
2478,0.139910678
2479,0.139924238
2480,0.139939558
2481,0.139956008
2482,0.139973028
2483,0.139983788
2484,0.139984738
2485,0.139981288
2486,0.139977228
2487,0.139975698
2488,0.139980108
2489,0.139990328
2490,0.140003838
2491,0.140019108
2492,0.140035518
2493,0.140052498
2494,0.140063208
2495,0.140064118
2496,0.140060638
2497,0.140056528
2498,0.140054968
2499,0.140059338
2500,0.140063358
